Date,SPY,XLK,XLV,XLF,XLE,XLI,XLY,XLP,XLU,XLB,XLRE,XLC,SOXX,BIL,AGG,^VIX,IEF
1999-01-04,76.46865844726562,12.277923583984377,17.397735595703125,11.223313331604004,5.752039432525635,15.013250350952148,9.56357479095459,14.216928482055664,5.817026615142822,5.945392608642578,,,,,,26.170000076293945,
1999-01-05,77.34270477294922,12.591846466064451,17.670230865478516,11.32806396484375,5.721219539642334,15.323202133178713,9.724695205688477,14.324132919311523,5.887298107147217,6.091241359710693,,,,,,24.459999084472656,
1999-01-06,79.20735931396484,12.963909149169922,17.96368980407715,11.687210083007812,5.909999847412109,15.652530670166016,10.000895500183104,14.49731159210205,5.948400020599365,6.198476314544678,,,,,,23.34000015258789,
1999-01-07,78.8188705444336,12.923209190368652,17.879850387573242,11.866778373718262,5.883029460906982,15.516926765441896,9.98939037322998,14.332374572753906,5.927012920379639,6.151291370391846,,,,,,24.3700008392334,
1999-01-08,79.4015884399414,12.975529670715332,18.09993553161621,11.941601753234863,5.909999847412109,15.63316535949707,10.000895500183104,14.27466106414795,5.9606218338012695,6.361485004425049,,,,,,23.280000686645508,
1999-01-11,78.64405822753906,13.103426933288574,18.141868591308597,11.762029647827148,5.798273086547852,15.487874031066896,9.949105262756348,13.986032485961914,5.801753520965576,6.374353885650635,,,,,,25.459999084472656,
1999-01-12,77.22618103027344,12.748812675476074,18.06849670410156,11.43281364440918,5.709660053253174,15.303836822509766,9.690167427062988,13.878822326660156,5.804807662963867,6.211345195770264,,,,,,28.100000381469727,
1999-01-13,76.68233489990234,12.742998123168944,17.900800704956055,11.283167839050291,5.624900817871094,14.916401863098145,9.736204147338867,13.903559684753418,5.844523906707764,6.074078559875488,,,,,,30.11000061035156,
1999-01-14,75.34213256835938,12.568595886230469,17.754066467285156,10.998845100402832,5.51702880859375,14.848599433898926,9.517539978027344,13.639676094055176,5.74675989151001,5.971129417419434,,,,,,32.97999954223633,
1999-01-15,77.3038330078125,12.940650939941406,17.99513816833496,11.313100814819336,5.6017842292785645,15.100435256958008,9.638379096984863,13.788104057312012,5.774255275726318,6.061212062835693,,,,,,29.239999771118164,
1999-01-19,77.80888366699219,13.388286590576172,18.50867462158203,11.253235816955566,5.6017842292785645,15.07138442993164,9.632624626159668,13.631434440612791,5.96978759765625,5.949681758880615,,,,,,29.239999771118164,
1999-01-20,78.43040466308594,13.51035976409912,18.613489151000977,11.33554458618164,5.555549621582031,15.003564834594728,9.793747901916504,13.672669410705566,5.945342063903809,5.928237438201904,,,,,,28.600000381469727,
1999-01-21,76.35214233398438,13.1615571975708,17.96368980407715,11.133530616760254,5.6017842292785645,14.877647399902344,9.701675415039062,13.466504096984863,5.923959255218506,5.90249490737915,,,,,,30.920000076293945,
1999-01-22,76.17736053466797,12.929022789001465,17.890331268310547,11.05870246887207,5.570964813232422,14.587077140808104,9.74770736694336,13.400521278381348,5.963674068450928,5.786677837371826,,,,,,31.950000762939453,
1999-01-25,76.95426177978516,13.155752182006836,18.037052154541016,11.148489952087402,5.563259124755859,14.829221725463867,9.724695205688477,13.367542266845703,5.740649223327637,5.90249490737915,,,,,,31.1299991607666,
1999-01-26,78.35271453857422,13.684769630432127,18.120899200439453,11.155973434448242,5.509319305419922,14.829221725463867,9.954862594604492,13.680912971496582,5.853689670562744,5.8853373527526855,,,,,,29.229999542236328,
1999-01-27,77.4398193359375,13.394095420837402,17.942733764648438,11.01381015777588,5.409152507781982,14.945451736450195,9.943353652954102,13.862329483032228,5.76508903503418,5.838150024414063,,,,,,29.729999542236328,
1999-01-28,78.74117279052734,13.86498737335205,18.27811050415039,11.178424835205078,5.378331661224365,14.964826583862305,10.046929359436035,14.109733581542969,5.774255275726318,5.765227794647217,,,,,,28.11000061035156,
1999-01-29,79.34327697753906,14.068451881408691,18.27811050415039,11.417845726013184,5.378331661224365,15.061684608459473,10.115984916687012,14.142706871032717,5.76508903503418,5.795256614685059,,,,,,26.25,
1999-02-01,78.87712860107422,14.08008098602295,18.382923126220703,11.223313331604004,5.324392795562744,15.081055641174316,10.138998985290527,14.084991455078123,5.75286865234375,5.842442989349365,,,,,,27.670000076293945,
1999-02-02,78.39157104492188,13.84172821044922,18.11041259765625,11.103601455688477,5.332098484039307,14.964826583862305,10.012406349182127,14.200431823730469,5.676491737365723,5.846731662750244,,,,,,28.15999984741211,
1999-02-03,79.18791961669922,13.940555572509766,18.456279754638672,11.185903549194336,5.455384731292725,15.110107421875,10.1735200881958,14.150949478149414,5.707043647766113,5.851019382476807,,,,,,27.8799991607666,
1999-02-04,78.00312805175781,13.46385669708252,18.320032119750977,10.924020767211914,5.4862060546875,15.129491806030272,10.115984916687012,14.084991455078123,5.621498107910156,6.02260160446167,,,,,,29.479999542236328,
1999-02-05,77.109619140625,13.138307571411133,18.11041259765625,10.834236145019531,5.6403117179870605,15.081055641174316,9.86279296875,13.870573043823242,5.624553680419922,6.104105949401856,,,,,,29.670000076293945,
1999-02-08,77.2650375366211,13.359212875366213,18.09993553161621,10.80431079864502,5.717363834381104,15.129491806030272,10.023911476135254,13.84583854675293,5.624553680419922,6.074078559875488,,,,,,30.270000457763672,
1999-02-09,75.53639221191406,12.836009979248049,17.775043487548828,10.654656410217283,5.609489917755127,14.926085472106934,9.713181495666504,13.598445892333984,5.64899492263794,5.958260536193848,,,,,,31.36000061035156,
1999-02-10,76.02194213867188,12.929022789001465,17.81694984436035,10.744451522827148,5.624900817871094,14.98420238494873,9.713181495666504,13.69740104675293,5.609276294708252,5.971129417419434,,,,,,30.450000762939453,
1999-02-11,77.7700424194336,13.47549057006836,18.29906845092773,11.178424835205078,5.578669548034668,15.187600135803224,10.02966594696045,13.928305625915527,5.6337175369262695,5.911075115203857,,,,,,27.420000076293945,
